customer_id,customer_name,gender,age,customer_segment,signup_date
C00001,Customer 1,Female,33,Corporate,2024-09-04
C00002,Customer 2,Male,58,Consumer,2024-06-08
C00003,Customer 3,Female,19,Consumer,2025-01-14
C00004,Customer 4,Female,39,Corporate,2025-04-28
C00005,Customer 5,Male,56,Consumer,2024-07-09
C00006,Customer 6,Female,63,Corporate,2025-07-13
C00007,Customer 7,Female,30,Consumer,2025-04-11
C00008,Customer 8,Female,49,Consumer,2024-05-01
C00009,Customer 9,Male,27,Consumer,2025-11-16
C00010,Customer 10,Male,23,Corporate,2024-02-02
C00011,Customer 11,Male,34,Consumer,2025-04-22
C00012,Customer 12,Female,60,Small Business,2024-11-16
C00013,Customer 13,Female,51,Corporate,2025-04-22
C00014,Customer 14,Female,41,Corporate,2025-07-19
C00015,Customer 15,Male,31,Consumer,2025-05-16
C00016,Customer 16,Male,24,Corporate,2025-04-20
C00017,Customer 17,Female,30,Small Business,2025-09-05
C00018,Customer 18,Male,25,Consumer,2025-05-27
C00019,Customer 19,Female,26,Consumer,2025-08-17
C00020,Customer 20,Female,51,Consumer,2024-10-21
C00021,Customer 21,Female,24,Consumer,2024-05-28
C00022,Customer 22,Male,20,Corporate,2024-06-20
C00023,Customer 23,Female,44,Consumer,2025-03-22
C00024,Customer 24,Female,31,Consumer,2025-01-23
C00025,Customer 25,Female,39,Consumer,2024-02-26
C00026,Customer 26,Male,24,Consumer,2024-05-29
C00027,Customer 27,Male,28,Consumer,2025-12-07
C00028,Customer 28,Male,39,Small Business,2025-06-14
C00029,Customer 29,Male,51,Consumer,2025-07-05
C00030,Customer 30,Female,37,Consumer,2024-05-23
C00031,Customer 31,Female,44,Corporate,2024-02-16
C00032,Customer 32,Female,43,Consumer,2024-07-31
C00033,Customer 33,Male,30,Consumer,2025-09-17
C00034,Customer 34,Male,31,Consumer,2025-01-04
C00035,Customer 35,Male,38,Small Business,2025-07-26
C00036,Customer 36,Male,19,Corporate,2024-12-21
C00037,Customer 37,Male,50,Consumer,2024-12-23
C00038,Customer 38,Male,47,Consumer,2025-03-14
C00039,Customer 39,Male,32,Consumer,2025-12-01
C00040,Customer 40,Female,35,Corporate,2024-11-15
C00041,Customer 41,Male,33,Consumer,2025-03-10
C00042,Customer 42,Female,49,Small Business,2025-11-02
C00043,Customer 43,Female,54,Corporate,2024-09-28
C00044,Customer 44,Male,23,Consumer,2025-09-05
C00045,Customer 45,Female,37,Corporate,2025-01-25
C00046,Customer 46,Female,18,Small Business,2025-10-03
C00047,Customer 47,Male,39,Consumer,2024-12-07
C00048,Customer 48,Male,29,Corporate,2025-04-04
C00049,Customer 49,Female,34,Small Business,2024-08-23
C00050,Customer 50,Male,39,Consumer,2025-04-08
C00051,Customer 51,Male,33,Small Business,2024-08-26
C00052,Customer 52,Male,36,Consumer,2025-03-20
C00053,Customer 53,Female,54,Corporate,2025-07-29
C00054,Customer 54,Female,56,Corporate,2024-11-13
C00055,Customer 55,Female,18,Consumer,2024-11-09
C00056,Customer 56,Female,36,Consumer,2024-08-23
C00057,Customer 57,Male,58,Consumer,2025-06-17
C00058,Customer 58,Female,43,Consumer,2025-03-08
C00059,Customer 59,Male,27,Consumer,2025-01-12
C00060,Customer 60,Male,46,Consumer,2024-01-19
C00061,Customer 61,Female,24,Consumer,2024-03-21
C00062,Customer 62,Male,19,Consumer,2024-01-06
C00063,Customer 63,Female,48,Consumer,2025-09-12
C00064,Customer 64,Female,42,Small Business,2025-09-13
C00065,Customer 65,Female,54,Consumer,2024-02-19
C00066,Customer 66,Female,34,Consumer,2024-02-03
C00067,Customer 67,Female,59,Consumer,2025-07-24
C00068,Customer 68,Male,38,Consumer,2025-01-18
C00069,Customer 69,Male,53,Corporate,2024-08-13
C00070,Customer 70,Male,22,Consumer,2025-03-24
C00071,Customer 71,Male,22,Consumer,2024-06-21
C00072,Customer 72,Male,55,Small Business,2024-05-24
C00073,Customer 73,Female,58,Corporate,2024-09-25
C00074,Customer 74,Male,63,Corporate,2025-10-15
C00075,Customer 75,Male,33,Small Business,2025-07-14
C00076,Customer 76,Male,19,Small Business,2024-05-18
C00077,Customer 77,Male,65,Consumer,2025-02-14
C00078,Customer 78,Female,46,Consumer,2025-10-07
C00079,Customer 79,Female,29,Consumer,2025-11-25
C00080,Customer 80,Female,54,Consumer,2025-07-10
C00081,Customer 81,Female,61,Consumer,2024-04-04
C00082,Customer 82,Male,31,Consumer,2024-06-24
C00083,Customer 83,Female,54,Corporate,2024-06-08
C00084,Customer 84,Male,55,Corporate,2024-04-20
C00085,Customer 85,Male,42,Corporate,2024-05-07
C00086,Customer 86,Male,48,Consumer,2024-08-18
C00087,Customer 87,Female,30,Consumer,2025-02-09
C00088,Customer 88,Male,62,Consumer,2024-10-17
C00089,Customer 89,Male,65,Consumer,2024-11-03
C00090,Customer 90,Male,65,Small Business,2024-06-28
C00091,Customer 91,Male,53,Small Business,2024-04-20
C00092,Customer 92,Female,20,Small Business,2025-12-30
C00093,Customer 93,Male,35,Small Business,2025-03-13
C00094,Customer 94,Male,39,Small Business,2024-06-16
C00095,Customer 95,Male,64,Consumer,2025-08-14
C00096,Customer 96,Female,44,Consumer,2025-08-29
C00097,Customer 97,Male,43,Consumer,2025-12-06
C00098,Customer 98,Male,25,Consumer,2024-04-26
C00099,Customer 99,Male,56,Consumer,2025-04-12
C00100,Customer 100,Female,34,Consumer,2025-12-16
C00101,Customer 101,Female,22,Small Business,2025-08-11
C00102,Customer 102,Female,65,Consumer,2024-06-13
C00103,Customer 103,Male,27,Small Business,2025-10-13
C00104,Customer 104,Female,18,Corporate,2024-11-03
C00105,Customer 105,Female,21,Corporate,2024-12-22
C00106,Customer 106,Female,39,Corporate,2025-02-11
C00107,Customer 107,Male,22,Consumer,2025-07-17
C00108,Customer 108,Male,58,Corporate,2024-03-28
C00109,Customer 109,Male,42,Consumer,2025-01-28
C00110,Customer 110,Female,33,Small Business,2025-08-19
C00111,Customer 111,Male,18,Consumer,2025-02-04
C00112,Customer 112,Male,41,Consumer,2024-07-19
C00113,Customer 113,Male,25,Corporate,2024-02-11
C00114,Customer 114,Female,64,Corporate,2025-02-04
C00115,Customer 115,Male,31,Consumer,2025-05-28
C00116,Customer 116,Female,40,Corporate,2025-02-05
C00117,Customer 117,Female,18,Consumer,2025-12-15
C00118,Customer 118,Female,24,Corporate,2025-03-15
C00119,Customer 119,Male,27,Consumer,2025-01-06
C00120,Customer 120,Female,20,Consumer,2024-02-10
C00121,Customer 121,Female,52,Consumer,2025-02-11
C00122,Customer 122,Female,63,Consumer,2024-05-03
C00123,Customer 123,Male,65,Consumer,2025-06-13
C00124,Customer 124,Male,30,Consumer,2024-04-27
C00125,Customer 125,Male,55,Consumer,2025-10-23
C00126,Customer 126,Male,42,Consumer,2024-08-08
C00127,Customer 127,Male,20,Consumer,2024-11-12
C00128,Customer 128,Male,22,Consumer,2024-04-15
C00129,Customer 129,Male,44,Corporate,2024-06-02
C00130,Customer 130,Female,38,Small Business,2025-11-04
C00131,Customer 131,Male,18,Consumer,2024-07-26
C00132,Customer 132,Female,62,Small Business,2025-01-09
C00133,Customer 133,Female,53,Consumer,2025-12-17
C00134,Customer 134,Male,42,Consumer,2025-03-31
C00135,Customer 135,Female,65,Corporate,2024-01-31
C00136,Customer 136,Male,64,Corporate,2024-09-17
C00137,Customer 137,Female,64,Corporate,2024-10-09
C00138,Customer 138,Male,30,Consumer,2024-07-20
C00139,Customer 139,Female,60,Corporate,2024-06-25
C00140,Customer 140,Male,42,Consumer,2025-01-02
C00141,Customer 141,Male,52,Consumer,2024-10-02
C00142,Customer 142,Male,59,Consumer,2024-08-02
C00143,Customer 143,Female,25,Small Business,2024-10-28
C00144,Customer 144,Female,39,Consumer,2024-09-07
C00145,Customer 145,Male,24,Corporate,2024-06-15
C00146,Customer 146,Male,31,Corporate,2024-11-26
C00147,Customer 147,Male,37,Corporate,2025-11-18
C00148,Customer 148,Female,59,Corporate,2025-01-04
