order_id,order_date,customer_id,product_id,region_id,quantity,discount,sales_amount,cost_amount,profit
O000001,2025-08-20 00:00:00,C00053,P0013,R014,3,0.0,970.29,789.78,180.51
O000002,2024-05-29 00:00:00,C00420,P0030,R015,2,0.0,968.74,640.56,328.18
O000003,2025-11-15 00:00:00,C01083,P0033,R006,2,0.0,1418.78,976.82,441.96
O000004,2024-12-31 00:00:00,C00119,P0043,R015,2,0.05,39.14,29.64,9.5
O000005,2025-09-08 00:00:00,C00455,P0096,R009,1,0.0,778.97,459.15,319.82
O000006,2025-01-16 00:00:00,C00298,P0072,R001,4,0.05,1050.7,921.72,128.98
O000007,2025-03-17 00:00:00,C01905,P0076,R016,1,0.15,477.81,442.13,35.68
O000008,2024-04-28 00:00:00,C00711,P0019,R002,1,0.05,49.8,44.02,5.78
O000009,2024-09-04 00:00:00,C00761,P0026,R001,1,0.0,733.81,567.0,166.81
O000010,2025-06-12 00:00:00,C00843,P0093,R015,2,0.0,1814.32,1188.42,625.9
O000011,2025-09-07 00:00:00,C00027,P0071,R002,1,0.1,796.62,677.48,119.14
O000012,2024-03-05 00:00:00,C01085,P0086,R011,1,0.1,626.33,589.29,37.04
O000013,2024-02-26 00:00:00,C01825,P0045,R007,2,0.05,594.59,488.96,105.63
O000014,2025-05-21 00:00:00,C01628,P0066,R019,4,0.15,2895.81,2846.04,49.77
O000015,2024-11-22 00:00:00,C00502,P0059,R007,1,0.0,1334.89,891.66,443.23
O000016,2025-09-12 00:00:00,C00027,P0028,R003,1,0.05,577.45,519.71,57.74
O000017,2024-02-19 00:00:00,C01547,P0087,R003,1,0.15,315.83,228.34,87.49
O000018,2024-09-12 00:00:00,C01683,P0042,R020,2,0.1,158.33,138.04,20.29
O000019,2024-01-26 00:00:00,C01844,P0056,R020,1,0.05,699.38,546.21,153.17
O000020,2025-06-02 00:00:00,C01155,P0019,R003,3,0.05,149.4,132.06,17.34
O000021,2025-09-19 00:00:00,C00948,P0071,R007,1,0.0,885.13,677.48,207.65
O000022,2024-04-24 00:00:00,C01513,P0084,R001,1,0.0,918.15,751.58,166.57
O000023,2024-08-24 00:00:00,C01381,P0050,R017,1,0.0,1253.56,827.4,426.16
O000024,2025-09-10 00:00:00,C01514,P0099,R018,1,0.05,1068.7,718.45,350.25
O000025,2024-01-31 00:00:00,C00569,P0034,R015,2,0.05,1162.34,1004.1,158.24
O000026,2025-11-26 00:00:00,C01807,P0091,R011,2,0.15,501.24,413.9,87.34
O000027,2025-10-10 00:00:00,C00075,P0078,R008,2,0.0,1818.18,1476.92,341.26
O000028,2024-04-21 00:00:00,C00187,P0095,R006,1,0.05,131.69,87.11,44.58
O000029,2024-04-11 00:00:00,C01310,P0080,R015,1,0.0,1064.41,755.97,308.44
O000030,2025-05-20 00:00:00,C01144,P0058,R012,2,0.05,907.72,718.12,189.6
O000031,2024-01-08 00:00:00,C01109,P0050,R010,2,0.1,2256.41,1654.8,601.61
O000032,2025-01-04 00:00:00,C01819,P0087,R008,2,0.0,743.14,456.68,286.46
O000033,2024-02-18 00:00:00,C01742,P0088,R015,1,0.05,82.89,58.34,24.55
O000034,2025-01-23 00:00:00,C01439,P0067,R020,1,0.1,1101.03,890.89,210.14
O000035,2024-09-12 00:00:00,C00330,P0077,R003,2,0.0,1303.58,792.08,511.5
O000036,2025-05-31 00:00:00,C00194,P0055,R016,1,0.0,845.32,517.78,327.54
O000037,2025-10-05 00:00:00,C00280,P0029,R010,1,0.1,887.5,722.34,165.16
O000038,2024-12-23 00:00:00,C01228,P0008,R014,2,0.0,416.24,256.6,159.64
O000039,2025-04-14 00:00:00,C01426,P0073,R016,1,0.1,689.34,629.1,60.24
O000040,2025-03-14 00:00:00,C01600,P0074,R007,1,0.1,447.94,405.74,42.2
O000041,2025-12-20 00:00:00,C00207,P0074,R005,1,0.1,447.94,405.74,42.2
O000042,2024-06-17 00:00:00,C00550,P0064,R001,3,0.2,2166.14,2272.23,-106.09
O000043,2024-06-23 00:00:00,C00677,P0043,R020,2,0.05,39.14,29.64,9.5
O000044,2024-10-03 00:00:00,C01265,P0032,R016,2,0.0,2281.0,1750.98,530.02
O000045,2025-06-22 00:00:00,C00094,P0010,R015,1,0.0,1005.24,832.19,173.05
O000046,2025-09-24 00:00:00,C01681,P0021,R001,2,0.15,752.06,737.6,14.46
O000047,2024-07-22 00:00:00,C00162,P0070,R019,1,0.05,57.56,37.94,19.62
O000048,2024-03-21 00:00:00,C01048,P0082,R003,3,0.05,530.33,475.98,54.35
O000049,2025-03-20 00:00:00,C01866,P0093,R006,1,0.0,907.16,594.21,312.95
O000050,2025-03-12 00:00:00,C00389,P0012,R012,2,0.1,2610.25,1789.48,820.77
O000051,2024-09-30 00:00:00,C01375,P0086,R001,2,0.1,1252.66,1178.58,74.08
O000052,2024-05-14 00:00:00,C01100,P0068,R016,2,0.1,1107.97,1014.66,93.31
O000053,2025-09-13 00:00:00,C01640,P0039,R019,1,0.1,811.4,688.78,122.62
O000054,2025-09-10 00:00:00,C01177,P0079,R009,2,0.0,203.86,153.66,50.2
O000055,2025-06-30 00:00:00,C01697,P0100,R003,3,0.0,1311.81,774.57,537.24
O000056,2025-02-27 00:00:00,C00806,P0047,R012,1,0.0,493.29,406.08,87.21
O000057,2024-07-10 00:00:00,C00328,P0070,R016,1,0.0,60.59,37.94,22.65
O000058,2024-10-21 00:00:00,C01360,P0034,R020,3,0.15,1559.99,1506.15,53.84
O000059,2024-02-20 00:00:00,C01936,P0028,R006,2,0.0,1215.68,1039.42,176.26
O000060,2024-07-01 00:00:00,C00867,P0021,R006,1,0.0,442.39,368.8,73.59
O000061,2024-11-25 00:00:00,C01640,P0005,R002,1,0.15,571.36,567.23,4.13
O000062,2024-11-15 00:00:00,C01755,P0079,R001,1,0.1,91.74,76.83,14.91
O000063,2024-02-28 00:00:00,C01292,P0020,R015,1,0.0,1187.83,729.28,458.55
O000064,2025-12-01 00:00:00,C01584,P0075,R005,1,0.0,192.39,139.88,52.51
O000065,2024-07-15 00:00:00,C01126,P0090,R007,1,0.0,49.6,43.23,6.37
O000066,2025-01-07 00:00:00,C01610,P0089,R009,5,0.05,4187.98,3780.7,407.28
O000067,2024-12-06 00:00:00,C00673,P0038,R002,5,0.1,1835.46,1212.2,623.26
O000068,2024-12-09 00:00:00,C01053,P0018,R016,2,0.05,1790.66,1531.34,259.32
O000069,2025-09-09 00:00:00,C00156,P0053,R012,1,0.0,55.07,48.4,6.67
O000070,2025-06-29 00:00:00,C00393,P0025,R009,5,0.0,1357.4,864.3,493.1
O000071,2025-09-26 00:00:00,C01159,P0046,R005,2,0.1,1884.85,1723.26,161.59
O000072,2024-10-04 00:00:00,C01449,P0065,R012,1,0.05,485.01,442.51,42.5
O000073,2024-07-12 00:00:00,C00060,P0072,R015,1,0.1,248.85,230.43,18.42
O000074,2024-11-08 00:00:00,C00138,P0029,R012,2,0.15,1676.39,1444.68,231.71
O000075,2025-02-14 00:00:00,C00013,P0030,R016,4,0.1,1743.73,1281.12,462.61
O000076,2024-09-03 00:00:00,C01036,P0090,R010,1,0.05,47.12,43.23,3.89
O000077,2024-12-02 00:00:00,C00671,P0096,R003,1,0.1,701.07,459.15,241.92
O000078,2024-04-20 00:00:00,C00106,P0072,R004,3,0.05,788.02,691.29,96.73
O000079,2025-03-02 00:00:00,C01588,P0064,R016,1,0.05,857.43,757.41,100.02
O000080,2025-06-05 00:00:00,C01057,P0073,R002,1,0.1,689.34,629.1,60.24
O000081,2025-01-20 00:00:00,C00021,P0018,R010,2,0.1,1696.41,1531.34,165.07
O000082,2025-09-30 00:00:00,C01372,P0093,R005,2,0.0,1814.32,1188.42,625.9
O000083,2025-12-28 00:00:00,C01823,P0028,R016,1,0.0,607.84,519.71,88.13
O000084,2025-10-23 00:00:00,C00839,P0074,R006,1,0.0,497.71,405.74,91.97
O000085,2024-03-08 00:00:00,C01900,P0030,R016,1,0.1,435.93,320.28,115.65
O000086,2025-10-05 00:00:00,C00834,P0077,R004,1,0.05,619.2,396.04,223.16
O000087,2024-08-31 00:00:00,C00155,P0081,R013,2,0.05,366.89,335.54,31.35
O000088,2024-11-26 00:00:00,C00246,P0080,R004,3,0.0,3193.23,2267.91,925.32
O000089,2024-10-28 00:00:00,C00134,P0052,R010,2,0.0,907.38,772.08,135.3
O000090,2024-07-26 00:00:00,C00604,P0069,R013,2,0.0,1610.08,1225.7,384.38
O000091,2025-10-03 00:00:00,C00770,P0068,R004,1,0.0,615.54,507.33,108.21
O000092,2025-04-11 00:00:00,C00889,P0078,R010,1,0.2,727.27,738.46,-11.19
O000093,2025-12-07 00:00:00,C00962,P0059,R015,2,0.05,2536.29,1783.32,752.97
O000094,2025-11-28 00:00:00,C01728,P0059,R006,1,0.1,1201.4,891.66,309.74
O000095,2024-11-02 00:00:00,C00024,P0075,R002,1,0.05,182.77,139.88,42.89
O000096,2025-06-15 00:00:00,C01796,P0023,R005,1,0.05,253.03,211.31,41.72
O000097,2025-01-02 00:00:00,C00478,P0073,R008,2,0.15,1302.08,1258.2,43.88
O000098,2024-12-27 00:00:00,C01908,P0021,R003,1,0.15,376.03,368.8,7.23
O000099,2025-06-24 00:00:00,C00271,P0079,R017,1,0.0,101.93,76.83,25.1
O000100,2025-05-18 00:00:00,C00201,P0048,R014,2,0.0,277.14,190.66,86.48
O000101,2025-10-28 00:00:00,C00244,P0088,R011,2,0.0,174.5,116.68,57.82
O000102,2025-07-18 00:00:00,C00593,P0013,R010,1,0.15,274.92,263.26,11.66
O000103,2025-03-30 00:00:00,C01884,P0055,R016,2,0.1,1521.58,1035.56,486.02
O000104,2025-11-02 00:00:00,C00926,P0023,R014,2,0.15,452.8,422.62,30.18
O000105,2024-03-15 00:00:00,C00331,P0090,R014,1,0.0,49.6,43.23,6.37
O000106,2025-07-11 00:00:00,C01284,P0018,R008,2,0.05,1790.66,1531.34,259.32
O000107,2024-10-13 00:00:00,C01017,P0057,R001,1,0.0,1078.55,631.71,446.84
O000108,2024-11-12 00:00:00,C01406,P0015,R002,3,0.0,3730.41,2691.09,1039.32
O000109,2025-07-25 00:00:00,C01484,P0085,R015,1,0.1,486.6,327.75,158.85
O000110,2024-07-19 00:00:00,C01573,P0036,R017,1,0.05,996.05,882.0,114.05
O000111,2025-10-07 00:00:00,C00303,P0067,R002,2,0.05,2324.4,1781.78,542.62
O000112,2024-12-31 00:00:00,C00992,P0023,R001,2,0.0,532.7,422.62,110.08
O000113,2024-09-12 00:00:00,C01262,P0044,R005,1,0.0,386.64,265.87,120.77
O000114,2024-08-27 00:00:00,C01114,P0016,R008,5,0.0,2112.1,1797.75,314.35
O000115,2024-11-03 00:00:00,C01946,P0063,R004,1,0.05,333.95,243.66,90.29
O000116,2025-11-20 00:00:00,C01922,P0001,R012,1,0.0,163.24,115.78,47.46
O000117,2024-03-16 00:00:00,C01624,P0100,R018,1,0.0,437.27,258.19,179.08
O000118,2025-01-06 00:00:00,C00481,P0051,R014,1,0.1,759.25,651.66,107.59
O000119,2025-09-02 00:00:00,C01058,P0071,R007,3,0.05,2522.62,2032.44,490.18
O000120,2024-12-11 00:00:00,C01608,P0037,R010,1,0.0,636.93,544.29,92.64
O000121,2025-02-17 00:00:00,C00537,P0033,R019,2,0.0,1418.78,976.82,441.96
O000122,2024-09-11 00:00:00,C01424,P0089,R016,3,0.1,2380.54,2268.42,112.12
O000123,2024-04-09 00:00:00,C00499,P0082,R004,1,0.0,186.08,158.66,27.42
O000124,2025-04-12 00:00:00,C00281,P0072,R010,2,0.0,553.0,460.86,92.14
O000125,2025-11-03 00:00:00,C00480,P0081,R002,1,0.0,193.1,167.77,25.33
O000126,2025-01-15 00:00:00,C01853,P0024,R017,3,0.0,2870.43,2482.62,387.81
