product_id,product_name,category,sub_category,cost,selling_price
P0001,Stationery Product 1,Furniture ,Stationery,115.78,163.24
P0002,Paper Product 2,electronics,Paper,64.25,87.97
P0003,Cookware Product 3,Home & Kitchen,Cookware,770.19,1193.82
P0004,Accessories Product 4,Electronics,Accessories,686.46,1026.06
P0005,Men Product 5,Clothing,Men,567.23,672.19
P0006,Appliances Product 6,Home & Kitchen,Appliances,149.21,235.71
P0007,Printers Product 7,Office Supplies,Printers,854.41,1457.27
P0008,Printers Product 8,Office Supplies,Printers,128.3,208.12
P0009,Accessories Product 9,Electronics,Accessories,785.27,941.01
P0010,Appliances Product 10,electronics,Appliances,832.19,1005.24
P0011,Stationery Product 11,electronics,Stationery,415.83,493.47
P0012,Chairs Product 12,Furniture,Chairs,894.74,1450.14
P0013,Printers Product 13,Office Supplies,Printers,263.26,323.43
P0014,Women Product 14,Clothing,Women,413.45,470.73
P0015,Decor Product 15,Home & Kitchen,Decor,897.03,1243.47
P0016,Stationery Product 16,Office Supplies,Stationery,359.55,422.42
P0017,Chairs Product 17,Furniture,Chairs,456.9,608.84
P0018,Mobiles Product 18,Electronics,Mobiles,765.67,942.45
P0019,Chairs Product 19,Furniture,Chairs,44.02,52.42
P0020,Cookware Product 20,Home & Kitchen,Cookware,729.28,1187.83
P0021,Cookware Product 21,Home & Kitchen,Cookware,368.8,442.39
P0022,Women Product 22,electronics,Women,305.85,494.11
P0023,Tables Product 23,Furniture,Tables,211.31,266.35
P0024,Paper Product 24,Office Supplies,Paper,827.54,956.81
P0025,Paper Product 25,Office Supplies,Paper,172.86,271.48
P0026,Mobiles Product 26,Electronics,Mobiles,567.0,733.81
P0027,Men Product 27,OFFICE SUPPLIES,Men,771.98,938.66
P0028,Laptops Product 28,Electronics,Laptops,519.71,607.84
P0029,Men Product 29,Clothing,Men,722.34,986.11
P0030,Laptops Product 30,Electronics,Laptops,320.28,484.37
P0031,Appliances Product 31,Home & Kitchen,Appliances,113.67,163.53
P0032,Mobiles Product 32,Electronics,Mobiles,875.49,1140.5
P0033,Paper Product 33,Office Supplies,Paper,488.41,709.39
P0034,Chairs Product 34,Furniture,Chairs,502.05,611.76
P0035,Printers Product 35,Office Supplies,Printers,753.29,1002.9
P0036,Kids Product 36,Clothing,Kids,882.0,1048.47
P0037,Mobiles Product 37,OFFICE SUPPLIES,Mobiles,544.29,636.93
P0038,Stationery Product 38,Office Supplies,Stationery,242.44,407.88
P0039,Stationery Product 39,Office Supplies,Stationery,688.78,901.56
P0040,Appliances Product 40,Home & Kitchen,Appliances,778.2,884.44
P0041,Chairs Product 41,Furniture,Chairs,334.3,496.05
P0042,Mobiles Product 42,Electronics,Mobiles,69.02,87.96
P0043,Paper Product 43,Office Supplies,Paper,14.82,20.6
P0044,Laptops Product 44,Electronics,Laptops,265.87,386.64
P0045,Storage Product 45,Furniture,Storage,244.48,312.94
P0046,Men Product 46,Clothing,Men,861.63,1047.14
P0047,Men Product 47,Clothing,Men,406.08,493.29
P0048,Appliances Product 48,Home & Kitchen,Appliances,95.33,138.57
P0049,Tables Product 49,OFFICE SUPPLIES,Tables,588.64,908.38
